ENSG00000230426.1	ERVMER61-1	chr1:187610357-187612992
ENSG00000226887.3	ERVMER34-1	chr4:53588784-53617807
ENSG00000244476.2	ERVFRD-1	chr6:11102721-11111965
ENSG00000213462.4	ERV3-1	chr7:64451186-64467121
ENSG00000242950.2	ERVW-1	chr7:92097693-92107300
ENSG00000260565.2	ERVK13-1	chr16:2710349-2723445
ENSG00000268964.1	ERVV-2	chr19:53547990-53554329
ENSG00000269526.1	ERVV-1	chr19:53517173-53519375
ENSG00000142396.6	ERVK3-1	chr19:58816714-58827023
ENSG00000233056.1	ERVH48-1	chr21:44336912-44345756
ENSG00000233887.1	ERVWE2	chrX:97102260-97104015
